Expected_Emotion,Detected_Emotion_Score,WER_Score,Weighted_Score
Desire,0.003374572843313217,0.11764705882352941,0.4428637570098919
Determination,0.0941542237997055,0.05405405405405406,0.5200500848728258
Disapproval,0.0,0.20588235294117646,0.3970588235294118
Disappointment,0.3496479392051697,0.11428571428571428,0.6176811124597277
Distress,0.14279961585998535,0.0851063829787234,0.5288466164406309
Surprise (negative),0.06338737159967422,0.06666666666666667,0.4983603524665038
Sympathy,0.15514330565929413,0.05357142857142857,0.5507859385439328
Distress,0.27216050028800964,0.2127659574468085,0.5296972714206005
Pride,0.19715309143066406,0.16666666666666666,0.5152432123819988
Shame,0.08877438306808472,0.10526315789473684,0.49175561258667394
Anxiety,0.02223021537065506,0.125,0.44861510768532753
Romance,0.06516563147306442,0.0196078431372549,0.5227788941679048
Distress,0.2146327793598175,0.10638297872340426,0.5541249003182066
Relief,0.21864493191242218,0.46,0.3793224659562111
Romance,0.12599022686481476,0.22580645161290322,0.45009188762595576
Satisfaction,0.2898732125759125,0.32608695652173914,0.48189312802708667
Contentment,0.16828297078609467,0.125,0.5216414853930473
Determination,0.17725689709186554,0.0784313725490196,0.549412762271423
Shame,0.06769265234470367,0.07894736842105263,0.4943726419618255
Contempt,0.04784403368830681,0.14492753623188406,0.4514582487282114
Concentration,0.20677515864372253,0.021739130434782608,0.5925180141044699
Determination,0.2404455989599228,0.05405405405405406,0.5931957724529344
Adoration,0.12772080302238464,0.15254237288135594,0.48758921507051434
Calmness,0.06661345064640045,0.04081632653061224,0.5128985620578941
Romance,0.06238776445388794,0.0196078431372549,0.5213899606583166
Guilt,0.005372295156121254,0.09090909090909091,0.45723160212351516
Triumph,0.03814750164747238,0.10869565217391304,0.46472592473677965
Disgust,0.15669302642345428,0.07017543859649122,0.5432587939134815
Satisfaction,0.1496880054473877,0.0784313725490196,0.5356283164491841
Confusion,0.09262330830097198,0.1276595744680851,0.48248186691644346
Disgust,0.35476154088974,0.06153846153846154,0.6466115396756392
Calmness,0.013307427987456322,0.37735849056603776,0.3179744687107093
Satisfaction,0.08605542778968811,0.0196078431372549,0.5332237923262166
Awkwardness,0.10984300822019577,0.23076923076923078,0.43953688872548247
Satisfaction,0.1293935924768448,0.0392156862745098,0.5450889531011676
Pride,0.06560549885034561,0.1568627450980392,0.4543713768761532
Determination,0.11230209469795227,0.11904761904761904,0.4966272378251666
Sarcasm,0.0,0.2857142857142857,0.35714285714285715
Disapproval,0.0,0.125,0.4375
Adoration,0.0980801060795784,0.06779661016949153,0.5151417479550434
