Expected_Emotion,Detected_Emotion_Score,WER_Score,Weighted_Score
Determination,0.18037821352481842,0.09523809523809523,0.5425700591433615
Disgust,0.16025379300117493,0.27692307692307694,0.441665358039049
Contentment,0.1872267872095108,0.5,0.3436133936047554
Contempt,0.0771373063325882,0.11594202898550725,0.4805976386735405
Disgust,0.12108183652162552,0.05263157894736842,0.5342251287871286
Disapproval,0.0,0.20588235294117646,0.3970588235294118
Desire,0.008425933308899403,0.11764705882352941,0.445389437242685
Determination,0.46486514806747437,0.0392156862745098,0.7128247308964824
Satisfaction,0.2091899812221527,0.06521739130434782,0.5719862949589025
Determination,0.14241835474967957,0.05405405405405406,0.5441821503478128
Love,0.29408079385757446,0.02127659574468085,0.6364020990564467
Pride,0.16185027360916138,0.2037037037037037,0.47907328495272883
Love,0.16774366796016693,0.208955223880597,0.479394222039785
Determination,0.5445899367332458,0.16666666666666666,0.6889616350332897
Adoration,0.05566990375518799,0.3728813559322034,0.3413942739114923
Calmness,0.14395995438098907,0.02040816326530612,0.5617758955578415
Contempt,0.07245152443647385,0.08695652173913043,0.49274750134867173
Gratitude,0.0,0.15555555555555556,0.4222222222222222
Sarcasm,0.0,0.14285714285714285,0.4285714285714286
Love,0.15798841416835785,0.02127659574468085,0.5683559092118384
Surprise (negative),0.07998007535934448,0.06666666666666667,0.5066567043463389
Romance,0.09433355182409286,0.0196078431372549,0.537362854343419
Empathic Pain,0.06542432308197021,0.20754716981132076,0.42893857663532475
Romance,0.3057222366333008,0.5161290322580645,0.39479660218761814
Pride,0.18299177289009094,0.3387096774193548,0.4221410477353681
Concentration,0.15075688064098358,0.15217391304347827,0.49929148379875266
Distress,0.13854795694351196,0.1702127659574468,0.48416759549303257
Contempt,0.11565795540809631,0.03225806451612903,0.5416999454459837
Sympathy,0.10853074491024017,0.20634920634920634,0.45109076928051695
Triumph,0.10882456600666046,0.02,0.5444122830033302
Determination,0.39776864647865295,0.06666666666666667,0.6655509899059932
Doubt,0.21223662793636322,0.08695652173913043,0.5626400530986164
Disgust,0.2253713756799698,0.1794871794871795,0.5229420980963951
Confusion,0.05764565244317055,0.1276595744680851,0.46499303898754274
Awkwardness,0.10025691241025925,0.09615384615384616,0.5020515331282065
Annoyance,0.0,0.7142857142857143,0.14285714285714285
Triumph,0.31437790393829346,0.3673469387755102,0.47351548258139164
Nostalgia,0.01965697668492794,0.5151515151515151,0.2522527307667064
Contempt,0.09059690684080124,0.07894736842105263,0.5058247692098743
Nostalgia,0.24270831048488617,0.041666666666666664,0.6005208219091098
